Episode,TotalReward,Coverage,MeanUncertainty,ReconstructionAccuracy,ImageCount,RuntimeSeconds,Mode,Timestamp
1,3.0219,0.5831,0.5631,0.4364,32,0.62,RL,01:11:19
2,3.0510,0.5868,0.5590,0.4376,32,0.64,RL,01:11:20
3,2.8740,0.6019,0.5560,0.4382,32,0.64,RL,01:11:20
4,4.0060,0.5925,0.5540,0.4370,32,0.64,RL,01:11:21
5,3.5126,0.6038,0.5524,0.4464,32,0.64,RL,01:11:21
6,4.7173,0.6044,0.5477,0.4577,32,0.64,RL,01:11:22
7,3.6499,0.6201,0.5351,0.4702,32,0.64,RL,01:11:23
8,3.3545,0.6176,0.5405,0.4589,32,0.64,RL,01:11:23
9,2.2385,0.5962,0.5515,0.4508,32,0.64,RL,01:11:24
10,3.7529,0.6332,0.5321,0.4721,32,0.64,RL,01:11:25
11,4.4527,0.6113,0.5423,0.4677,32,0.64,RL,01:11:25
12,3.5652,0.6088,0.5498,0.4527,32,0.64,RL,01:11:26
13,3.1699,0.5981,0.5551,0.4458,32,0.64,RL,01:11:27
14,4.4859,0.6144,0.5441,0.4451,32,0.64,RL,01:11:27
15,3.9731,0.5906,0.5669,0.4288,32,0.64,RL,01:11:28
16,4.1056,0.6050,0.5494,0.4433,32,0.64,RL,01:11:29
17,3.3318,0.6188,0.5382,0.4627,32,0.64,RL,01:11:29
18,2.9835,0.5806,0.5715,0.4320,32,0.64,RL,01:11:30
19,3.3212,0.6182,0.5488,0.4495,32,0.64,RL,01:11:30
20,4.1587,0.6100,0.5463,0.4608,32,0.64,RL,01:11:31
21,3.2522,0.6082,0.5428,0.4520,32,0.64,RL,01:11:32
22,2.9565,0.6075,0.5335,0.4740,32,0.64,RL,01:11:32
23,2.5750,0.5987,0.5450,0.4683,32,0.64,RL,01:11:33
24,3.6421,0.5881,0.5729,0.4163,32,0.64,RL,01:11:34
25,3.1310,0.5956,0.5490,0.4533,32,0.64,RL,01:11:34
26,4.1743,0.6125,0.5357,0.4746,32,0.64,RL,01:11:35
27,2.8959,0.6031,0.5491,0.4558,32,0.64,RL,01:11:36
28,2.1011,0.6138,0.5439,0.4621,32,0.64,RL,01:11:36
29,4.3923,0.6006,0.5577,0.4420,32,0.64,RL,01:11:37
30,4.5764,0.6257,0.5336,0.4740,32,0.64,RL,01:11:38
31,3.8083,0.6019,0.5417,0.4621,32,0.64,RL,01:11:38
32,3.0332,0.6194,0.5368,0.4671,32,0.64,RL,01:11:39
33,3.8729,0.6125,0.5471,0.4520,32,0.64,RL,01:11:39
34,3.5754,0.6132,0.5396,0.4683,32,0.64,RL,01:11:40
35,4.4177,0.6056,0.5473,0.4577,32,0.64,RL,01:11:41
36,3.2918,0.6132,0.5482,0.4533,32,0.64,RL,01:11:41
37,3.2555,0.5755,0.5795,0.4188,32,0.64,RL,01:11:42
38,3.9619,0.6207,0.5381,0.4646,32,0.64,RL,01:11:43
39,3.9681,0.6245,0.5319,0.4708,32,0.64,RL,01:11:43
40,3.6530,0.6201,0.5370,0.4539,32,0.64,RL,01:11:44
41,2.8704,0.6019,0.5546,0.4489,32,0.64,RL,01:11:45
42,3.2517,0.6088,0.5383,0.4633,32,0.64,RL,01:11:45
43,3.1075,0.5918,0.5525,0.4545,32,0.64,RL,01:11:46
44,3.3023,0.6169,0.5477,0.4508,32,0.64,RL,01:11:46
45,3.2755,0.6132,0.5445,0.4671,32,0.64,RL,01:11:47
46,3.1619,0.6000,0.5581,0.4376,32,0.64,RL,01:11:48
47,3.0595,0.6201,0.5305,0.4784,32,0.64,RL,01:11:48
48,3.2551,0.6069,0.5399,0.4646,32,0.64,RL,01:11:49
49,3.2009,0.6056,0.5541,0.4408,32,0.64,RL,01:11:50
50,3.2365,0.6075,0.5535,0.4414,32,0.64,RL,01:11:50
