Episode,TotalReward,Coverage,MeanUncertainty,ReconstructionAccuracy,ImageCount,RuntimeSeconds,Mode,Timestamp
1,-0.6526,0.6063,0.5376,0.4527,32,0.62,Random,00:53:46
2,-0.7323,0.5975,0.5423,0.4696,32,0.64,Random,00:53:46
3,-0.8856,0.6157,0.5406,0.4571,32,0.64,Random,00:53:47
4,-0.4122,0.6031,0.5422,0.4589,32,0.64,Random,00:53:48
5,-0.6411,0.6082,0.5361,0.4646,32,0.64,Random,00:53:48
6,-0.9743,0.6044,0.5493,0.4414,32,0.64,Random,00:53:49
7,-0.6556,0.6075,0.5406,0.4552,32,0.64,Random,00:53:50
8,0.1383,0.5969,0.5567,0.4389,32,0.64,Random,00:53:50
9,-0.3082,0.6132,0.5432,0.4508,32,0.64,Random,00:53:51
10,-0.8629,0.6194,0.5279,0.4665,32,0.64,Random,00:53:51
11,-1.2562,0.6082,0.5362,0.4608,32,0.64,Random,00:53:52
12,-0.3313,0.6107,0.5413,0.4577,32,0.64,Random,00:53:53
13,-0.7022,0.6025,0.5422,0.4571,32,0.64,Random,00:53:53
14,-0.1619,0.5937,0.5569,0.4476,32,0.64,Random,00:53:54
15,-0.5792,0.5824,0.5642,0.4339,32,0.64,Random,00:53:55
16,-0.4559,0.5618,0.5759,0.4251,32,0.64,Random,00:53:55
17,-0.1029,0.5687,0.5679,0.4395,32,0.64,Random,00:53:56
18,-1.1803,0.5511,0.5853,0.4119,32,0.64,Random,00:53:57
19,-1.3487,0.5592,0.5687,0.4282,32,0.64,Random,00:53:57
20,-0.3081,0.5461,0.5931,0.4025,32,0.64,Random,00:53:58
21,-1.3917,0.5893,0.5567,0.4408,32,0.64,Random,00:53:58
22,-0.5392,0.5856,0.5542,0.4508,32,0.64,Random,00:53:59
23,-0.8163,0.5900,0.5563,0.4508,32,0.64,Random,00:54:00
24,-2.0795,0.5505,0.5895,0.3987,32,0.64,Random,00:54:00
25,-0.2309,0.5918,0.5759,0.4050,32,0.64,Random,00:54:01
26,-0.6432,0.5774,0.5732,0.4201,32,0.64,Random,00:54:02
27,-1.0242,0.6013,0.5542,0.4357,32,0.64,Random,00:54:02
28,-1.4453,0.5549,0.5903,0.3912,32,0.64,Random,00:54:03
29,-0.6795,0.6025,0.5395,0.4652,32,0.64,Random,00:54:04
30,-0.8884,0.5806,0.5634,0.4370,32,0.64,Random,00:54:04
31,-1.2167,0.5448,0.5867,0.4088,32,0.64,Random,00:54:05
32,-1.9504,0.4972,0.6304,0.3467,32,0.64,Random,00:54:06
33,-1.7497,0.5536,0.5897,0.3969,32,0.64,Random,00:54:06
34,-0.2830,0.6182,0.5280,0.4771,32,0.64,Random,00:54:07
35,-0.6712,0.5712,0.5762,0.4226,32,0.64,Random,00:54:07
36,-1.3420,0.5630,0.5670,0.4326,32,0.64,Random,00:54:08
37,-1.8349,0.5436,0.5999,0.3843,32,0.64,Random,00:54:09
38,-0.8473,0.5862,0.5573,0.4345,32,0.64,Random,00:54:09
39,-0.5729,0.5781,0.5529,0.4527,32,0.64,Random,00:54:10
40,-0.8238,0.5893,0.5738,0.4119,32,0.64,Random,00:54:11
41,-0.4926,0.5925,0.5626,0.4351,32,0.64,Random,00:54:11
42,-1.1719,0.5831,0.5519,0.4445,32,0.64,Random,00:54:12
43,-2.6666,0.5505,0.5766,0.4188,32,0.64,Random,00:54:13
44,-1.0541,0.5969,0.5491,0.4364,32,0.64,Random,00:54:13
45,-0.4551,0.6000,0.5601,0.4339,32,0.64,Random,00:54:14
46,-0.7983,0.5925,0.5483,0.4571,32,0.64,Random,00:54:14
47,-0.9832,0.6031,0.5482,0.4527,32,0.64,Random,00:54:15
48,-1.4897,0.5480,0.5897,0.4000,32,0.64,Random,00:54:16
49,-1.6409,0.5987,0.5509,0.4389,32,0.64,Random,00:54:16
50,-1.1739,0.5831,0.5489,0.4589,32,0.64,Random,00:54:17
